"Question 57... When must all men register for the Selective Service?", "At age eighteen"
"Question 58... What is one reason colonists came to America?", "Religious freedom"
"Question 59... Who lived in America before the Europeans arrived?", "American Indians"
"Question 60... What group of people was taken to America and sold as slaves?", "Africans"
"Question 61... Why did the colonists fight the British?", "Because of high taxes"
"Question 62... Who wrote the Declaration of Independence?", "Thomas Jefferson"
"Question 63... When was the Declaration of Independence adopted?", "July 4, 1776"
"Question 64... There were 13 original states. Name three.", "New York, New Jersey, and New Hampshire"
"Question 65... What happened at the Constitutional Convention?", "The Constitution was written"
"Question 66... When was the Constitution written?", "1787"
"Question 67... The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.", "James Madison"
"Question 68... What is one thing Benjamin Franklin is famous for?", "U.S. diplomat"
"Question 69... Who is the 'Father of Our Country'?", "George Washington"
"Question 70... Who was the first President?", "George Washington"
"Question 71... What territory did the United States buy from France in 1803?", "Louisiana"
"Question 72... Name one war fought by the United States in the 1800s.", "Civil War"
"Question 73... Name the U.S. war between the North and the South.", "Civil War"
"Question 74... Name one problem that led to the Civil War.", "Slavery"
"Question 75... What was one important thing that Abraham Lincoln did?", "Freed the slaves"
"Question 76... What did the Emancipation Proclamation do?", "Freed the slaves"
"Question 77... What did Susan B. Anthony do?", "Fought for women's rights"
"Question 78... Name one war fought by the United States in the 1900s.", "Vietnam War"
"Question 79... Who was President during World War I?", "Woodrow Wilson"
"Question 80... Who was President during the Great Depression and World War II?", "Franklin Roosevelt"
"Question 81... Who did the United States fight in World War II?", "Japan, Germany, and Italy"
"Question 82... Before he was President, Eisenhower was a general. What war was he in?", "World War II"
"Question 83... During the Cold War, what was the main concern of the United States?", "Communism"
"Question 84... What movement tried to end racial discrimination?", "Civil Rights Movement"
"Question 85... What did Martin Luther King, Jr. do?", "Fought for civil rights"
"Question 86... What major event happened on September 11, 2001, in the U.S.?", "Terrorists attacked the U.S."
"Question 87... Name one American Indian tribe in the U.S.", "Cherokee"
"Question 88... Name one of the two longest rivers in the U.S.", "Mississipi River"
"Question 89... What ocean is on the West Coast of the U.S.?", "Pacific Ocean"
"Question 90... What ocean is on the East Coast of the U.S.?", "Atlantic Ocean"
"Question 91... Name one U.S. territory.", "Guam"
"Question 92... Name one state that borders Cananda", "New York"
"Question 93... Name one state that borders Mexico", "California"
"Question 94... What is the capital of the U.S?", "Washington D.C."
"Question 95... Where is the Statue of Liberty?", "New York harbor"
"Question 96... Why does the flag have 13 stripes?", "Because there were 13 original colonies."
"Question 97... Why does the flag have 50 states?", "Because there are 50 states"
"Question 98... What is the name of the national anthem?", "The Star-Spangled Banner"
"Question 99... When do we celebrate Independence Day?", "July 4"
"Question 100... Name two national U.S. holidays.", "Thanksgiving and New Year Day"
